gene1,gene2,similarity_score
AKT1,BCL2,227.26727977219247
CASP3,BCL2L1,226.56973525064893
CFTR,PRKG2,226.10388471215208
CFTR,NPR3,226.10388471215208
SLC15A1,ABCB6,224.8322926464242
TKT,AIFM1,222.44343505444849
CDO1,TNFRSF10C,220.92355057886812
CDO1,FBN1,220.92355057886812
NEUROD1,ADRA1D,217.2607136831304
CDO1,CDH13,215.2505167945346
FBN2,RYR3,212.97660152625997
GJA1,GJB1,212.70556529216958
GJA1,GJB2,212.70556529216958
GJB1,GJB2,212.70556529216958
TNFSF10,PARP1,211.8242891201398
DDX3X,HFM1,211.65168720343743
CLDN1,CLDN2,211.60262029463115
PRKCA,HRH1,210.18912416112076
PRKCA,HRH3,210.18912416112076
PRKCA,HRH4,210.18912416112076
DDR2,AIFM1,205.9289447784478
KLB,RARA,204.9178505258929
VIM,SNAI1,199.0348096034655
AKT1,BAX,197.30753978810847
TACR1,TAC1,195.3375842191584
MCM8,FANCG,195.0007459079148
BCL2,FASLG,194.27337205809337
DICER1,CHFR,194.22488436668385
CDO1,RBP1,192.64777244142783
AXIN2,DKK3,192.53536293671297
BAX,FASLG,192.49716088112731
CHEK1,CHEK2,191.8428557025288
ITK,ZEB1,190.33805704889883
DCLK1,OPCML,188.53501970518542
VIM,CDH2,188.30678083769678
CDH17,CDH2,187.90067767664564
EIF4EBP1,RPS6KB2,187.19866573032823
IRF7,TLR7,187.01076993592642
PRDM5,TBX3,186.79267698881858
NQO1,G6PD,185.06056192263796
SOD1,SOD2,184.08899631173153
SLC10A2,KLB,183.47872818810941
PDLIM5,TUBB,177.53505823400542
CYP1A2,CYP2E1,177.14110266342965
CASP9,PARP1,176.8460198440718
BCL2,TCFL5,175.73466546025207
CYP1A1,PNMT,175.25357916216075
SLC15A1,SLC15A2,175.06179119400485
CDH17,SNAI1,173.85983370442153
CDH2,ZEB1,173.3425397986839
CDH2,SNAI1,173.12123920510777
PLK2,PLK3,172.89084586133038
TIMP3,CHFR,172.07220057531578
SERPINA1,CYP39A1,171.89369584794838
SERPINA1,RUNX2,171.89369584794838
GSTO1,GSTK1,171.5183933094841
MAP1LC3A,AMBRA1,170.45800567139247
NFE2L2,GCLC,168.97754495535784
MAPK1,MAPK3,164.1808658812361
CXCL9,CXCR3,163.8433049392261
MSH2,PMS2,163.80932745078653
MBD2,MECP2,163.25009802029143
MBD2,MBD1,163.25009802029143
PTGER4,CDH5,163.02450513198465
SQSTM1,NUP62,161.8770041684846
ACTB,PDLIM5,160.32352434377685
ACTB,TUBB,160.32352434377685
BCL2,BAK1,157.677258659549
HDAC6,IFT88,156.52260969570872
PMS2,PMS1,156.1181795405433
ANXA5,FASLG,155.92485725124132
AHR,CYP2E1,155.48826539908416
SLC10A2,RARA,154.87977837564657
NQO1,TKT,154.75132736272036
CASP3,FASLG,154.3516349933537
PDHX,PDX1,153.37435710462077
AKT1,CASP3,152.88112592343705
BCL2,RELA,151.8677137339233
PTGER1,PTGER4,151.24181694713974
TNFSF10,MCL1,147.50520948417096
BAX,BAK1,146.02724435993184
SNAI1,ZEB1,145.21805977793585
BAX,RELA,144.4104511199002
VIM,ZEB1,143.47041184715076
BAK1,TOMM20,143.30948937247757
BAK1,CRMP1,143.30948937247757
BAK1,FIS1,143.30948937247757
BAK1,MFN2,143.30948937247757
BAK1,OPA1,143.30948937247757
CDH13,CHFR,142.81127721151762
BAX,TCFL5,142.5683151312339
IL17A,CXCL9,142.21518419911357
IL17A,CXCR3,142.21518419911357
PDIA3,PGAM1,140.6685865519149
SLC43A2,SLC3A2,140.35994111989845
SLC43A2,SLC7A6,140.35994111989845
SLC3A2,SLC7A6,140.35994111989845
CDO1,ZNF331,140.31199794480526
CYP1A2,GSTT1,140.19552488161287
BAX,TNFRSF10B,140.13931704762368
AKT1,ANXA5,139.22723767216067
CYR61,WISP1,138.40192375049608
CYR61,WISP2,138.40192375049608
CYR61,NOV,138.40192375049608
WISP1,WISP2,138.40192375049608
WISP1,NOV,138.40192375049608
WISP2,NOV,138.40192375049608
CLDN4,CLDN1,137.70635813799692
BCL2,TNFRSF10B,137.2483794668949
CDO1,DICER1,136.9719802158592
BMX,EPHA3,135.66592517327425
PTCH1,HOXD13,135.6300003212013
CDO1,CHFR,135.45017166226341
DICER1,CDH13,134.94969683213193
CASP3,RELA,134.9325072603575
PML,HSD17B7,134.56290638072971
PML,SKAP2,134.56290638072971
OPCML,TNFRSF10C,134.43804488868594
MCL1,PARP1,133.5389047239475
ANXA5,RELA,132.91047754537274
CDO1,SNRPF,132.63300279080676
CDO1,TPD52,132.63300279080676
CDO1,HBE1,132.63300279080676
CDO1,LPP,132.63300279080676
HSPD1,PGAM1,132.0384319516186
ANXA5,BAK1,131.3154287901084
ANXA5,TNFRSF10B,131.27682305194634
ARID2,ECT2,130.85381791950718
CASP3,TNFRSF10B,126.84534073819168
FBXW7,SKP1,126.73100271335043
HOXB7,GTF2H3,126.32961597379523
ADAM10,ADAM9,126.2684306636597
ZBTB16,IFIT2,125.9713340259832
BAX,CDK4,125.86946897980685
MAT1A,MAT2A,124.98290961990386
ITK,SNAI2,124.29384569944109
HRH2,HRH1,124.28896935766646
HRH2,HRH3,124.28896935766646
HRH2,HRH4,124.28896935766646
BCL2,MAPK3,124.04191154456312
BAX,XIAP,123.58879271050114
CASP3,XIAP,123.55606185601133
TCFL5,CASP3,123.18197342646837
BAX,CDK2,123.1183383318349
SUZ12,ROCK2,123.11675807651422
BCL2,EPHB2,122.85698703106738
ZEB1,SNAI2,122.79001032680173
BECN1,MAP1LC3A,122.18969899678862
CLDN4,CLDN2,122.1825424572939
PARP1,CASP8,121.9253713878502
LAT2,SLC3A2,121.65728278484562
LAT2,SLC7A6,121.65728278484562
BCL2,BIRC5,121.31904686107514
CASP3,BAK1,121.31479486454425
RPS6KB1,TXNDC12,121.30265727427452
HSPD1,PDIA3,120.68365098932759
PRKCA,HRH2,120.45309170967015
ITK,TWIST1,120.11601660096272
BAX,IFI27,119.89163403824524
ZSCAN18,FBN1,119.29801530311705
DCLK1,TNFRSF10C,119.29801530311705
BCL2,XIAP,119.28265430471212
SOD1,SOD3,118.35021781744418
BCL2,CFLAR,117.959287874833
RUNX3,NEUROG1,117.9405449710467
ZMYND10,SEMA3B,117.35944436148644
CCKBR,GAST,116.85862579643702
MCL1,BCL2L1,116.79958269768603
BAX,CFLAR,116.46229695669837
NLRP3,TLR9,116.33650859747569
ANXA5,XIAP,116.26750416661353
ANXA5,CFLAR,115.95547979934949
BAX,BIRC5,115.58011154655446
HOXA1,FBN1,115.53768553838725
BCL2,CDK2,115.47886654991618
BCL2,CDK4,115.29359023078379
CHFR,RASSF5,115.2888412591494
CHFR,OTUD4,115.2888412591494
CHFR,PTPN6,115.2888412591494
NEUROG1,OPCML,114.37893403300892
BAX,NFKB1,113.77739367328817
BAX,EPHB2,112.99178587967424
CDH17,ZEB1,112.50138250955136
NPTX2,EFNB2,111.72738559163342
IGFBP7,EFNB2,111.4598864298558
EFNB2,IRX3,111.4598864298558
BCL2,NFKB1,111.23885011012833
CLDN1,OCLN,110.89133473245536
KPNA2,E2F7,110.86391633707663
BCL2,IGF1,110.75486251768052
ANXA5,CDK4,110.66547525690558
BAX,IGF1,110.20322206336365
BCL2L1,PARP1,110.04765546736715
KPNA2,TFDP1,109.97321557293614
COL11A2,CASP8,109.93129145809661
HSPA1A,ICOS,109.88919739342461
MCL1,CASP9,109.867441635129
CASP3,CDK2,109.09884160972739
SFRP1,NEUROG1,108.9251159829002
CYP7A1,KLB,108.79952475605673
BCL2,PCNA,108.25078287136355
PSEN1,PSEN2,107.78416550402234
MLH1,MGMT,107.76984494955263
CASP3,CFLAR,106.50232877475295
BCL2,IFI27,106.45326190568544
AHR,GSTT1,106.24794848584744
NEDD4L,MMP13,105.72026230520369
NPY,NPY1R,105.45223720439198
ZEB1,ZEB2,105.41100218459516
TNFSF10,CASP9,105.32045559693346
DICER1,TNFRSF10D,105.30911130427796
DICER1,RASSF5,105.30911130427796
DICER1,OTUD4,105.30911130427796
DICER1,PTPN6,105.30911130427796
SLC14A2,MECP2,104.95956844322353
SLC14A2,MBD1,104.95956844322353
BCL2L1,CASP9,104.43376432158544
ANXA5,CDK2,104.43284932269513
PARP1,XIAP,104.31554786219385
EPPK1,FYN,104.24056260597973
ECE2,FYN,104.24056260597973
SLK,FYN,104.24056260597973
BAX,MAPK3,104.16865584406996
GSTO1,GSTM3,103.55891784585224
NELL2,NRP1,103.4474122014709
NELL2,NRP2,103.4474122014709
NRP1,NRP2,103.4474122014709
BAX,PCNA,103.25159282295762
CD8A,CD4,103.07675821538375
ITK,ZEB2,103.07643243544572
GSTO1,NAT2,102.50451885970733
ANXA5,NFKB1,102.27833993964025
VIM,SNAI2,102.06642527491155
GSTK1,GSTM3,101.81994016953854
ARL4C,IL21,101.30838937256017
CDH2,SNAI2,100.3126461256808
TTR,RBP4,100.12199967028121
PLOD2,SMAD7,99.89134180157473
CASP3,CDK4,99.87693645021113
WT1,HLA-DPB1,99.8403069920325
WT1,RBM45,99.8403069920325
APCDD1,FOXF1,99.5252813331647
APCDD1,FOXP2,99.5252813331647
FOXF1,FOXP2,99.5252813331647
CASP9,CASP8,99.44358470507511
NQO1,TXN,98.60248434148716
SFRP1,CDO1,98.20921561120538
CDH17,SNAI2,97.87835881008806
LCN2,PSMA3,97.80720882306557
NTHL1,NEIL1,97.39594462043434
TIMP3,TNFRSF10D,97.36633875746675
TIMP3,RASSF5,97.36633875746675
TIMP3,PTPN6,97.36633875746675
TNFRSF10D,RASSF5,97.20769285079513
TNFRSF10D,PTPN6,97.20769285079513
RASSF5,PTPN6,97.20769285079513
TNFSF10,BCL2L1,97.11640651748674
CYP7A1,FGF21,96.96577094832779
CXCL2,EREG,96.94990173966212
HEY1,HEY2,96.83415032959047
ENPP2,NR1I2,96.39223156389149
PIK3R1,NELL2,95.34958402582433
PIK3R1,NRP1,95.34958402582433
PIK3R1,NRP2,95.34958402582433
AKT1,MAPK3,95.26824132951798
BCL2,MAPK1,95.14174931305101
ANXA5,IGF1,95.08744329062696
CYP1A1,CYP2E1,94.78782510636883
NFE2L2,AIFM1,94.0054541568404
ELF3,PRKACB,93.89185573250545
CASP3,NFKB1,93.32495635174799
CYP27A1,CYP27B1,93.00554207557158
AKT1,MAPK1,92.87446711735966
CASP3,IGF1,91.97519670984553
AKT1,PIK3CD,91.12346481065411
PARP1,TNFRSF10B,91.06280042527708
CYP1A2,CYP3A4,91.03032893429503
HSPB1,HSPA1A,90.62795951797621
BAX,FAS,90.47587826263756
BCL2,FAS,90.43595622376398
ANXA5,BIRC5,90.38545001839222
CASP3,MAPK3,89.7299170906712
BCL2,STAT3,88.9511337594529
CASP3,DNTT,88.78497792097296
TGFB1,ITK,88.53360295241417
CASP3,BIRC5,88.1610571277617
EPHB2,CASP3,88.05488121936553
SERPINB2,CXCL2,87.82429278706813
SERPINB2,EREG,87.82429278706813
BCL2,MTOR,87.67405813687931
SMARCB1,JAK1,87.22628074433814
VIM,TGFB1,87.11319274313104
NMT1,HSPA8,87.01548193099177
EPHB2,ANXA5,86.62096868849535
OPCML,SHOX2,86.25709388665088
SLC15A2,ABCB6,86.19740759010622
TYMS,KLHL1,86.17004347855188
TNFSF10,CASP8,85.84385098217189
RASSF1,CDO1,85.523513488325
SLC4A1,SLC4A3,85.3936030005884
CYP1A2,GSTM1,85.2566300886828
PDE5A,SMPD1,85.2510300693261
BAX,MTOR,85.00717986389948
AHR,GABRQ,84.66624689322468
MAOA,TPH1,84.40484879801578
MCL1,CASP8,83.79583596368006
CDH17,TGFB1,83.7337991081324
PDCD1,NRP1,83.45666679098498
PDCD1,NRP2,83.45666679098498
TNFRSF10C,FBN1,83.30330786373005
GSTM1,AHR,83.25283258862552
OPCML,CDH6,83.16589297225975
DICER1,OPCML,82.81732900613027
OPCML,LPP,82.59963237472986
ANXA5,TNFRSF10A,82.41969034176383
CXCL3,CXCL2,82.14891678316903
CXCL3,EREG,82.14891678316903
GSTP1,NQO1,81.65565576595189
UCHL1,NEUROG1,81.46271453847672
LTB,LTBR,81.18696014054987
AHR,CYP3A4,80.51716479479806
BCL2,CDC25A,79.99182751837121
FBXW7,CUL1,79.57619117130797
BAX,MAPK1,79.55789737539651
CDO1,GRIN2B,79.43550226126182
CDO1,PITX2,79.43550226126182
SPRY1,SPRY2,79.42521098493877
SPRY1,FGF1,79.42521098493877
SPRY2,FGF1,79.42521098493877
CLIC3,TK1,79.41111474887408
ANXA5,FAS,79.38897692260825
BAX,CDC25A,79.36648437477498
DNTT,CALM2,79.35037385494836
BNIP3,PTTG1,79.27474991947696
BNIP3,EFNB2,79.27474991947696
BNIP3,IRX3,79.27474991947696
EPHA4,ITGB6,79.25938464758727
FASLG,PARP1,78.58391288952814
ITK,ANXA8,78.55907708433624
BCL2,TNFRSF10A,78.51033794099554
OSBP2,OSBP,78.43538365232503
BCL2,MKI67,78.40449908779783
NFE2L2,G6PD,78.39060539010585
PRDM2,APAF1,78.32012277975849
BAX,TNFRSF10A,78.31512473840986
TIMP3,DICER1,78.14338583266489
SNAI1,SNAI2,78.09310368444834
CASP3,FAS,78.03217029379643
CLDN4,CLDN7,77.77158830735009
MAPK3,ANXA5,77.59890016427521
TMEFF2,NEUROG1,77.55197209147227
EPOR,EPO,77.37179649657531
CASP9,RELA,77.19462803555878
MLH1,PMS1,77.1826539189216
CYP2E1,CYP3A4,77.12420290450295
CCDC40,SGCZ,76.91604077586958
CDH10,HMCN1,76.91604077586958
HMCN1,SGCZ,76.91604077586958
PLCE1,NR1H3,76.82017493866798
DICER1,ZSCAN18,76.8159378154152
DICER1,DCLK1,76.8159378154152
IGF1R,FCGR1A,76.49281773694882
IGF1R,FCGR2C,76.49281773694882
IGF1R,IGF2R,76.49281773694882
ADRB1,ADRB3,75.9616018566214
CDH13,TNFRSF10D,75.93764482607058
CDH13,RASSF5,75.93764482607058
CDH13,PTPN6,75.93764482607058
TFDP1,E2F7,75.872710561999
TNFSF10,FASLG,75.59193173264255
HOXA9,HOXD9,75.42690188655203
BAX,MKI67,75.28180114236623
IMP3,IGF2BP3,74.66775986147256
GSTT1,GSTO1,74.65552845817653
NEUROG1,FBN1,74.64361301431578
BAX,MAP2K7,74.57251965299123
OPCML,ITGA4,74.44490924074725
ANXA5,IFI27,74.30365210757338
OPCML,PITX2,74.26179709329993
BAX,CALM2,74.09229143127405
KRAS,BCL2,74.08846953750138
TAZ,SGMS1,73.8478219126391
NEUROG1,ZSCAN18,73.83600933548563
NEUROG1,DCLK1,73.83600933548563
ICOS,TGFA,73.81782209077481
RASSF1,SFRP1,73.78842390713021
CDH13,OPCML,73.65679680302141
GSTO1,GSTO2,73.65379645183049
GSTK1,GSTO2,73.65379645183049
MLH1,RASSF1,73.625630338794
SERPINB2,CXCL3,73.21931065470484
EED,HOXD9,73.12787562984659
ANXA5,CALM2,72.90371810708459
CTNNB1,CDH17,72.63340228246877
BAX,CDKN1A,72.50004489106963
TNFRSF10B,TNFRSF10A,72.4069230033596
BCL2,CALM2,72.3988738642249
CDH2,ZEB2,72.30495088155641
BAX,STAT3,71.95632338935347
FGF2,SDC2,71.77898269925772
ANXA5,CDKN1A,71.77742372212317
CLDN1,CLDN7,71.74463873894862
FASLG,CASP8,71.64892157311752
CCK,CCKAR,71.56918323257213
MLH1,DAPK1,71.49692514684813
CASP3,CALM2,71.45612527021612
PCLO,CLTB,71.27893236037444
KRT7,BAX,71.14456391684146
ANXA5,CDC25A,71.10940369401965
CYP2A6,GSTO1,71.08277953745197
PCNA,CASP3,70.64067008416713
DDIT3,CASP4,70.49605270081025
GDNF,RET,70.43933665097512
PARP1,RELA,70.43707485027977
KRT17,IGFBP7,70.29646678856136
KRT17,EFNB2,70.29646678856136
KRT17,IRX3,70.29646678856136
TNFSF10,TNFRSF10B,70.27148677309032
FCGR1A,FCGR2C,70.05663837088073
FCGR1A,IGF2R,70.05663837088073
FCGR2C,IGF2R,70.05663837088073
NR0B2,KLB,70.02130461959405
BCL2,MAP2K7,69.87154725210367
CASP3,IFI27,69.55511169326105
FGF2,SULF1,69.36835547000463
MTOR,CASP3,69.34310194831677
MAPK1,CASP3,69.33083364583325
GATA3,GATA5,69.32789549596798
TIMP3,CDO1,69.26755129127848
RUNX3,CDO1,69.24244586348443
CD8A,FOXP3,69.17814691477616
MCL1,BAK1,69.14527293144951
AKT1,MTOR,69.14122702855519
CASP3,TNFRSF10A,68.90763131374452
ANXA5,MKI67,68.84650144992135
CYP2E1,GSTT1,68.81765489579907
TIMP3,CDH13,68.78177395113796
BCL2,PIK3CD,68.75551116355491
ZSCAN18,CDH13,68.69163397930367
DCLK1,CDH13,68.69163397930367
TNFSF10,XIAP,68.65791997935065
SFRP1,RUNX3,68.63201974018408
PCNA,ANXA5,68.45395013664405
FGFR1,FRS2,68.43831535991872
DAPK1,CDO1,68.12613359623488
GSTP1,GCLC,67.98894834169137
PARP1,BAK1,67.93610889479797
ITK,S100A4,67.83354838413584
CYP1B1,NR1H3,67.62619623657191
NQO1,HMOX1,67.5518472578347
SFRP2,AXIN2,67.32835900822407
SFRP2,DKK3,67.32835900822407
SFRP4,AXIN2,67.32835900822407
SFRP4,DKK3,67.32835900822407
DKK2,AXIN2,67.32835900822407
DKK2,DKK3,67.32835900822407
CDH2,TWIST1,67.29530150229013
RELA,TNFRSF10B,67.27254857601456
CASP9,BAK1,67.23733189753659
VIM,TWIST1,67.23323589114062
CALB1,VDAC1,67.14021379300844
CALB1,GPX1,67.14021379300844
VDAC1,GPX1,67.14021379300844
VDAC1,MAL2,67.14021379300844
REG1A,REG1B,67.0886236727305
TGFB1,SNAI1,66.69019554772089
RCOR3,ATF3,66.61884117471892
ATF3,EMP1,66.61884117471892
KRAS,BAX,66.37878773071539
BAX,PIK3CD,66.21722252769287
ODC1,GAD2,66.1630358899251
CASP3,MKI67,66.12249851143133
ANXA5,STAT3,66.08590787293566
ANXA5,PDGFRB,66.04399722404139
CASP3,CDC25A,65.88781294045118
COL11A2,BAK1,65.71605443936372
AKT1,TNFSF10,65.57608509088726
UGT1A10,UGT2B11,65.56748517490821
UGT1A10,CHST4,65.56748517490821
UGT2B11,CHST4,65.56748517490821
MTOR,ANXA5,65.52666117453046
AKT1,EPHB2,65.4638554432906
MAPK1,ANXA5,65.37271932897258
COL11A2,RELA,65.27910734042017
BCL2L1,CASP8,65.27728905240421
TNFSF10,BAK1,65.21055835178925
MLH1,CDO1,65.04233478585951
TNFSF10,TNFRSF10A,65.0384999093321
BRCA2,NELL2,64.93444605083869
BRCA2,NRP1,64.93444605083869
BRCA2,NRP2,64.93444605083869
RASSF1,RUNX3,64.89031195439807
BAX,PDGFRB,64.7930910421865
GTF2H3,ISL1,64.79063548603013
NFE2L2,DDR2,64.7856880628769
NAT2,GSTM3,64.71214554141994
COX8A,ICOS,64.5850074723517
CASP3,STAT3,64.40923977387843
SFRP1,HOXA1,64.31523378636253
GDI2,WDR1,63.96708653862227
MCL1,FASLG,63.926453921050566
PARP1,CDK4,63.87021941034104
FOXO1,SIRT1,63.85234274370362
ADRA2A,ADRB1,63.771136495628596
ADRA2A,ADRB3,63.771136495628596
RASSF1,NEUROG1,63.68585772557488
BCL2,CDKN1A,63.642077049682044
GSTM1,GSTT1,63.54551061658716
CASP9,TNFRSF10B,63.51684406285426
PARP1,CFLAR,63.1503224020006
ANXA5,BIRC3,63.11690809968437
CLDN4,OCLN,63.06904247101785
VIM,ZEB2,63.06559398088852
SNAI1,ZEB2,62.75585597361155
TIMP3,DCLK1,62.50474653131727
SULF1,SDC2,62.316272024072205
HSPA5,ATF4,62.295776082352646
HSPA5,ATF6,62.295776082352646
HSPA5,XBP1,62.295776082352646
BCL2,DDIT3,62.219147669492706
CDO1,ESR1,62.17823547561621
KLB,FGF21,62.15017537805212
RPP14,PYCARD,62.12751176585587
BCL2,PDGFRB,62.09211091200721
ANXA5,MAP2K7,61.933554414382314
BCL2,VEGFC,61.58598892770147
MSH6,PMS1,61.4919352870861
AKT1,MCL1,61.418641370031345
DCLK1,SNRPF,61.3452944047597
CASP9,CDK2,61.2238110133331
RELA,NFKB1,61.2073030986789
TGFA,ICOSLG,60.97226815191006
CCNB1,CKS2,60.92514225616646
BAX,DDIT3,60.767293851862156
TRIM33,ENPP1,60.73641493207185
TGFBI,CALB1,60.72853556699006
TGFBI,VDAC1,60.72853556699006
TGFBI,GPX1,60.72853556699006
CASP3,CDKN1A,60.64322910007308
PER1,CLOCK,60.62356185779908
PARP1,DNTT,60.433909523055526
EFNB1,EPHB4,60.358859949878685
DDIT3,ATF4,60.34567944323411
DDIT3,ATF6,60.34567944323411
DDIT3,XBP1,60.34567944323411
FXYD3,FXYD5,60.0583600154561
RASSF1,DAPK1,60.03956902460597
CDO1,RARB,59.86817118424617
CDO1,SNCA,59.86817118424617
PROX1,MAZ,59.72642689049598
SFRP1,OPCML,59.62793043961534
CD14,LY96,59.47856588219172
CASP8,BAK1,59.472909687573924
PTGES,PTGER4,59.45336596931372
PTGES,CDH5,59.45336596931372
MLH1,SFRP1,59.406549201450815
CASP8,CFLAR,59.34576400156272
GLI1,SHH,59.314753141389446
CDKN1C,CHFR,58.97370702154462
EEF1A2,RPL41,58.94264104591731
CYP1A1,GSTT1,58.552175017064336
STAT5A,STAT5B,58.494624454025455
STAT5A,STAT2,58.494624454025455
STAT5A,STAT4,58.494624454025455
STAT5A,STAT6,58.494624454025455
STAT5B,STAT2,58.494624454025455
STAT5B,STAT4,58.494624454025455
STAT5B,STAT6,58.494624454025455
STAT2,STAT4,58.494624454025455
STAT2,STAT6,58.494624454025455
STAT4,STAT6,58.494624454025455
BAX,BID,58.45405997938604
RUNX3,UCHL1,58.36937354531258
GSTT1,GSTK1,58.36814603208307
BCL2,MYC,58.32601463764797
MCL1,TNFRSF10B,58.2563317593874
TGFB1,CDH2,58.228707690734254
ESR1,OPCML,58.119553476525454
TLR4,MYD88,58.03161144631455
CASP8,CALM2,57.931178596580864
MAT2A,MAT2B,57.90197551592913
FLT4,NELL2,57.891357544926244
FLT4,NRP1,57.891357544926244
FLT4,NRP2,57.891357544926244
TAS1R1,RBP4,57.32106922527415
TAS1R2,RBP4,57.32106922527415
TAS1R3,RBP4,57.32106922527415
MUC1,BCL2,56.91162869522357
MAPK1,EPHB2,56.837296651295574
JAK3,RAG2,56.77988976316429
BECN1,DNAJB9,56.672287203643954
BECN1,DNAJA2,56.672287203643954
FASLG,CASP9,56.649231799470016
TNFRSF10A,CLEC4D,56.610136150783546
CASP3,MAP2K7,56.5679511275748
AKT1,TCFL5,56.53230014474646
HSPB1,ICOS,56.472123050492385
BECN1,AMBRA1,56.46029004639543
CLDN2,CLDN7,56.4286135834656
BCL2,BID,56.2815276623648
FADD,SKAP2,56.259949346579226
ITK,NT5E,56.205231770350885
SLC25A3,MDFIC,56.15167131642693
KRAS,CASP3,56.1491469542875
TCF4,WNT2,56.1113540129422
KRAS,ANXA5,56.031176588899854
SFRP1,DAPK1,55.9029393534625
CASP3,PDGFRB,55.771327238470114
REG4,REG1B,55.71378828681429
AKT1,PARP1,55.56640223001709
CASP8,TNFRSF10B,55.56627678201865
AKT1,COL11A2,55.56605422217133
SLC22A1,SLC22A3,55.42279371421418
RUNX3,CDH13,55.37069931994408
PRKACB,PRKACA,55.32917831228499
CDH1,CDO1,55.30247822049393
FASLG,BAK1,55.278716860729624
MAP3K4,KDM1A,55.22892067149542
SFRP1,DLC1,55.149367390978206
RASSF1,CDH13,55.09188109830717
FLT4,PIK3R1,55.07834018073183
CASP3,PIK3CD,54.840722870622045
MNT,MAF,54.81602123727333
CASP3,DDIT3,54.63787334397339
TRIM37,ICOSLG,54.49666369162776
ANXA3,GDI2,54.489031581141205
ANXA3,WDR1,54.489031581141205
PGK1,GDI2,54.489031581141205
RUNX3,HOXA1,54.44185478121232
COL1A2,GLIPR2,54.36047818852855
COL1A2,NID1,54.36047818852855
COL1A2,DCN,54.36047818852855
